PedigreeId,Correct_IP,contradictionXLR,ansXLR,stdevXLR,contradictionAR,ansAR,stdevAR,contradictionAD,ansAD,stdevAD
1084LN.json,AD,yes,3.40E-15,1,no,1.81E-15,1,yes,1.01E-25,1
2055JS.json,AR,no,5.74E-10,1,no,1.10E-07,1,yes,7.64E-08,1
230KK.json,AR,no,7.80E-10,1,no,1.38E-06,1,yes,3.10E-08,1
235TL.json,AR,yes,7.07E-07,1,no,2.48E-07,1,yes,0.000162529,1
273PA.json,XL,no,1.07E-12,1,no,2.67E-09,1,yes,5.76E-16,1
277DP.json,XL,no,5.66E-07,1,no,3.90E-06,1,yes,4.97E-05,1
302KW.json,XL,no,9.59E-09,1,no,5.07E-08,1,yes,7.42E-06,1
3061JE.json,AR,yes,2.56E-06,1,no,1.22E-06,1,yes,0.00047597,1
3204RS.json,M,yes,3.08E-08,1,no,2.65E-07,1,yes,3.20E-09,1
3235JW.json,AD,yes,9.05E-10,1,no,5.38E-15,1,yes,2.17E-12,1
3239PB.json,XL,no,6.42E-10,1,no,3.24E-10,1,yes,1.63E-07,1
3383AT.json,XL,yes,1.12E-09,1,no,7.15E-10,1,yes,3.03E-10,1
3464DF.json,AR,no,6.24E-08,1,no,5.78E-07,1,yes,2.80E-07,1
3738KW.json,AD,no,5.30E-10,1,no,1.88E-10,1,yes,1.94E-07,1
3743MH.json,AD,yes,2.84E-10,1,no,7.86E-09,1,yes,3.03E-08,1
3818J.json,AR,yes,8.73E-10,1,no,2.81E-09,1,yes,1.31E-18,1
3843AH_2.json,AR,yes,1.12E-06,1,no,1.03E-06,1,yes,4.12E-05,1
3903KA.json,XL,no,2.45E-12,1,no,2.77E-08,1,yes,4.74E-13,1
3935SC.json,AD,yes,5.32E-12,1,no,5.79E-10,1,yes,8.93E-18,1
404KH.json,AR,yes,1.34E-07,1,no,2.84E-06,1,yes,8.40E-05,1
417CP.json,AD,no,6.61E-08,1,no,3.63E-05,1,no,5.87E-09,1
4259DM.json,AR,no,4.90E-10,1,no,1.94E-06,1,yes,3.43E-06,1
4515JN.json,AR,yes,1.20E-10,1,no,1.47E-08,1,yes,4.66E-16,1
4547PB.json,AR,no,2.05E-10,1,no,5.92E-07,1,yes,6.57E-10,1
4954DK.json,AD,no,2.57E-09,1,no,3.03E-07,1,yes,1.79E-06,1
4958NG.json,XL,no,4.04E-13,1,no,6.67E-15,1,yes,2.45E-10,1
4961BR.json,XL,no,1.10E-12,1,no,6.20E-14,1,yes,1.88E-08,1
4984TC.json,AR,yes,8.37E-11,1,no,5.49E-07,1,yes,2.51E-10,1
4994BD.json,AR,no,3.04E-10,1,no,1.88E-08,1,yes,6.36E-10,1
5034MM.json,AR,no,2.03E-08,1,no,6.87E-06,1,yes,1.62E-05,1
5035KK.json,AR,yes,3.01E-10,1,no,1.87E-07,1,yes,3.35E-08,1
5082RH.json,XL,no,4.10E-11,1,no,8.12E-12,1,yes,1.12E-09,1
5092AD.json,AD,no,1.43E-11,1,no,1.18E-09,1,yes,5.61E-19,1
5191BD.json,XL,no,7.61E-07,1,no,5.22E-06,1,yes,3.16E-05,1
5220AT.json,AR,no,0.000262433,1,no,0.000496127,1,yes,0.001273944,1
5248RH.json,AD,no,6.43E-09,1,no,1.32E-09,1,yes,2.94E-08,1
5263TS.json,AD,no,2.12E-11,1,no,1.21E-07,1,yes,1.32E-09,1
5359MH.json,AD,yes,4.34E-11,1,no,8.64E-11,1,yes,5.31E-10,1
5377KD.json,AD,yes,7.92E-08,1,no,1.61E-07,1,yes,6.42E-05,1
5393JR.json,AD,no,1.18E-08,1,no,1.02E-07,1,yes,2.87E-06,1
5415RS.json,AR,no,6.47E-07,1,no,7.19E-06,1,yes,1.83E-05,1
5426JR.json,XL,no,4.33E-08,1,no,4.56E-06,1,yes,6.36E-05,1
5484LB.json,AR,no,1.99E-07,1,no,9.70E-06,1,yes,0.000134977,1
5495MH.json,AR,yes,9.28E-07,1,no,1.63E-09,1,yes,0.000195548,1
55000MB.json,XL,no,6.68E-11,1,no,5.55E-11,1,yes,1.12E-05,1
5500MB.json,XL,no,3.38E-13,1,no,3.24E-11,1,yes,2.60E-06,1
5546EL.json,AR,yes,2.07E-08,1,no,8.24E-07,1,yes,6.55E-08,1
5571JF.json,AD,yes,9.35E-08,1,no,4.70E-08,1,yes,6.62E-06,1
5596IN.json,AR,yes,8.58E-12,1,no,4.45E-10,1,yes,5.14E-17,1
5633JK.json,AD,yes,8.04E-07,1,no,4.77E-07,1,yes,0.001340946,1
5665PB.json,AD,yes,1.46E-08,1,no,4.05E-08,1,yes,1.75E-06,1
5669JS.json,AR,no,8.35E-08,1,no,1.87E-05,1,yes,0.002696967,1
5678AK.json,AR,no,7.50E-09,1,no,3.16E-07,1,yes,1.17E-06,1
5694JL.json,AR,no,4.69E-09,1,no,8.09E-08,1,yes,9.75E-12,1
5697MS.json,AR,yes,0.000330267,1,no,9.18E-05,1,yes,0.000790538,1
5701LC.json,AR,yes,3.44E-07,1,no,4.56E-07,1,yes,2.44E-06,1
5704AC.json,XL,no,1.43E-11,1,no,5.44E-15,1,yes,9.95E-12,1
5712CS.json,AD,yes,4.03E-12,1,no,1.28E-10,1,yes,2.04E-12,1
5713BS.json,AD,yes,5.37E-13,1,no,2.75E-10,1,yes,7.00E-10,1
5738AT.json,AR,no,0.000240251,1,no,0.00040936,1,yes,0.000581724,1
5749KR.json,AR,yes,3.03E-06,1,no,9.87E-07,1,yes,2.06E-06,1
5775VS.json,AD,yes,4.36E-06,1,no,9.41E-06,1,yes,0.00111693,1
5783CC.json,AD,yes,3.79E-12,1,no,1.50E-09,1,no,2.26E-09,1
5784CV.json,XL,no,9.70E-06,1,no,1.04E-05,1,yes,0.000432573,1
5786EK.json,AR,yes,4.76E-05,1,no,4.68E-05,1,yes,0.000448227,1
5793KB.json,XL,no,2.99E-09,1,no,7.11E-08,1,yes,3.37E-05,1
5808SL.json,AD,yes,1.31E-05,1,no,1.06E-05,1,no,8.80E-06,1
5812RH.json,AR,yes,2.13E-08,1,no,4.03E-07,1,yes,1.22E-06,1
5833TK.json,XL,yes,6.48E-13,1,no,9.25E-12,1,yes,2.43E-07,1
5855MO.json,AD,yes,3.55E-07,1,no,1.93E-08,1,yes,0.000509,1
5864KJ.json,AD,no,3.64E-07,1,no,9.08E-06,1,no,0.001670164,1
5865MH.json,AD,yes,3.57E-12,1,no,3.77E-20,1,yes,1.39E-13,1
5867KA.json,AD,yes,4.24E-07,1,no,1.18E-08,1,yes,8.39E-13,1
5892JB.json,AD,yes,5.19E-09,1,no,2.48E-07,1,yes,1.13E-11,1
5915MB.json,AD,yes,1.72E-07,1,no,3.63E-07,1,yes,1.83E-06,1
5951MB.json,AD,yes,3.17E-07,1,no,5.26E-08,1,yes,2.00E-06,1
